field_name,data_type,nullable,domain_or_unit,level,role,definition,source_or_derivation,missing_rule,allowed_tasks
schema_version,string,false,semantic version,dataset,provenance,Row schema version,writer constant,Never missing,DST-03:DST-09
context_id,string,false,SHA-256 hex,context,identifier,Unique state-order-position-prefix identifier,SHA256(source_run|state_hash|unit_order|unit_position|prefix_hash),Never missing,DST-03:DST-09
action_pair_id,string,false,SHA-256 hex,action_pair,identifier,Unique canonical action pair within context,SHA256(context_id|min(action_a;action_b)|max(action_a;action_b)),Never missing,DST-03:DST-04
source_priority,int32,false,1:4,context,provenance,Frozen source precedence,Research contract section 4,Never missing,DST-03:DST-04
source_kind,category,false,original_history|probe_corpus|replay,context,provenance,How the state-prefix record was obtained,Manifest and reconstruction path,Never missing,DST-03:DST-04
source_run,string,false,project-relative path or run id,context,provenance,Authoritative source run,Source manifest,Never missing,DST-03:DST-06
scenario,category,false,medium|time_pressure|heterogeneity_pressure,context,base_feature,Environment scenario,Experiment configuration,Never missing,DST-03:DST-09
policy_seed,int32,false,nonnegative integer,context,base_feature,Training policy seed,Experiment configuration,Never missing,DST-03:DST-09
env_seed,int32,false,nonnegative integer,context,provenance,Environment or replay seed,Replay metadata,Never missing,DST-03:DST-09
episode_id,int32,true,nonnegative integer,context,provenance,Episode index in source or replay,Source trace,Required when source has episodes; otherwise null,DST-03:DST-06
step,int32,false,nonnegative integer,context,provenance,Environment decision-step index,Source trace,Never missing,DST-03:DST-06
ppo_update,int32,true,nonnegative integer,update,identifier,Completed PPO update index,Training dynamics,Required for DST-05 and DST-06 only,DST-05:DST-06
state_hash,string,false,SHA-256 hex,context,identifier,Hash of exact normalized observation and environment decision state,Reconstruction writer,Never missing,DST-03:DST-06
state_ref,string,false,project-relative path plus row or array index,context,provenance,Resolvable reference to exact state payload,Corpus index,Never missing,DST-03:DST-04
model_path,string,false,project-relative path,context,provenance,Policy model used for probabilities and argmax,Source manifest,Never missing,DST-03:DST-06
model_sha256,string,false,SHA-256 hex,context,provenance,Hash of policy model file,Source manifest,Never missing,DST-03:DST-06
environment_config_path,string,false,project-relative path,context,provenance,Configuration used to reconstruct legality,Source manifest,Never missing,DST-03:DST-06
environment_config_sha256,string,false,SHA-256 hex,context,provenance,Hash of environment configuration,Source manifest,Never missing,DST-03:DST-06
unit_order,string,false,concatenated unit ids such as 012,context,structural,Fixed autoregressive decision order,Experiment configuration,Never missing,DST-03:DST-09
unit_position,int32,false,0 to n-2 for main rows,context,base_feature,Zero-based position in unit_order,Reconstruction,Last position must be excluded from main analysis,DST-03:DST-06
unit_id,int32,false,environment unit id,context,structural,Unit acting at unit_position,unit_order[unit_position],Never missing,DST-03:DST-06
prefix,string,false,canonical JSON array,context,structural,Ordered factual actions before current position,Source trace or deterministic replay,Never missing,DST-03:DST-06
prefix_hash,string,false,SHA-256 hex,context,identifier,Hash of canonical factual prefix,Reconstruction writer,Never missing,DST-03:DST-06
prefix_engagement_count,int32,false,0 to unit_position,context,base_feature,Number of non-noop actions in prefix,Count over prefix,Never missing,DST-03:DST-04
legal_action_ids,string,false,canonical JSON array,context,structural,Current actions legal under exact mask and having a feasible completion,Enumerator plus environment mask,Never missing and nonempty,DST-02:DST-04
legal_action_count,int32,false,positive integer,context,base_feature,Cardinality of legal_action_ids,Length of legal_action_ids,Must be at least 2 for pair rows,DST-03:DST-04
environment_mask_match,bool,false,true,context,integrity,Enumerator current legality equals official environment mask,Independent cross-check,Must be true,DST-02:DST-03
eligible_main,bool,false,true|false,action_pair,filter,Whether row enters preregistered main analysis,All frozen inclusion checks,Must be true in main dataset,DST-03:DST-04
exclusion_reason,category,true,LAST_POSITION|ILLEGAL_CURRENT_ACTION|EMPTY_SUFFIX|EMPTY_UNION|STATE_UNRECOVERABLE|MASK_MISMATCH|DUPLICATE_PAIR,action_pair,integrity,Reason row or attempted row is excluded,Integrity audit,Null only when eligible_main=true,DST-02:DST-04
action_a,int32,false,environment action id,action_pair,structural,Lower canonical action id of pair,Canonical min of original pair,Never missing,DST-02:DST-04
action_b,int32,false,environment action id,action_pair,structural,Higher canonical action id of pair,Canonical max of original pair,Never missing and action_b>action_a,DST-02:DST-04
is_noop_a,bool,false,true|false,action_pair,base_feature,Whether action_a is no-op,Environment action semantics,Never missing,DST-03:DST-04
is_noop_b,bool,false,true|false,action_pair,base_feature,Whether action_b is no-op,Environment action semantics,Never missing,DST-03:DST-04
noop_pair_type,category,false,noop_noop|noop_engage|engage_engage,action_pair,base_feature,Symmetric pair encoding of is_noop,Derived from is_noop_a and is_noop_b,Never missing; noop_noop normally absent,DST-03:DST-04
target_id_a,int32,true,environment target id,action_pair,descriptive,Target selected by action_a,Action decoder,Null iff is_noop_a=true,DST-03:DST-04
target_id_b,int32,true,environment target id,action_pair,descriptive,Target selected by action_b,Action decoder,Null iff is_noop_b=true,DST-03:DST-04
candidate_target_threat_a,float64,true,normalized threat score,action_pair,base_feature,Threat of action_a target,Exact state target features,Null iff is_noop_a=true; add missing indicator in model,DST-03:DST-04
candidate_target_threat_b,float64,true,normalized threat score,action_pair,base_feature,Threat of action_b target,Exact state target features,Null iff is_noop_b=true; add missing indicator in model,DST-03:DST-04
candidate_target_threat_min,float64,true,normalized threat score,action_pair,base_feature,Minimum observed candidate threat across non-noop branches,Derived from branch fields,Null only when both branches no-op,DST-03:DST-04
